rn	type	text
58737	I	<par>The -y is a learned folk etymology; cf. Skt.</par>
58985	O	<par>(u⁵⁵ &apos;head&apos;).</par>
59101	O	<par>(&apos;smell&apos; + &apos;good&apos;).</par>
59148	O	<par>(śap⁵⁵, śaŋ³¹ &apos;mortar&apos;)</par>
59242	O	<par>(kjup⁵⁵ &apos;to wear (hat)&apos;)</par>
59272	I	<par>Note metathesis of Prefix and <latinform>C</latinform><latinform>d̀n4 i</latinform>. 2d syl = ‘speech’  &lt; PTB *<latinform>s-ka-t</latinform>, STC #9 *<latinform>ka</latinform>.</par>
59275	I	<par>Which syllable from 127?</par>
59283	I	<par>from DL</par>
59303	T	<par>This Aka form looks as if it has been metathesized from <latinform>mri</latinform>.</par>
59464	O	<par>(u⁵⁵, u⁵³, qə- &apos;head&apos;) (LaPolla 1987).</par>
59466	T	<par>Note final <latinform>-t</latinform>.</par>
59488	T	<par>Contra DL:1195, Lahu <latinform>-phu-</latinform> in this compound seems to mean WHITE rather than the homophonous morpheme BULBOUS OBJECT.</par>
59529	I	<par>as above</par>
59530	I	<par>as above</par>
59532	I	<par>M1: ;BP pfx? or 229? 1390? or 66? (presume <latinform>(k)a</latinform> because of <latinform>ʔə</latinform>, etc.)</par>
59534	I	<par>BP pfx?</par>
59535	I	<par>as above. M1: 1361?</par>
59536	I	<par>remove division?</par>
59537	I	<par>M2: 1390? or both 1387??</par>
59538	I	<par>according to DPTB p.29, <reconstruction>*aŋ &gt; aŋ</reconstruction> in Dulong so unlikely that tag is correct.</par>
59539	I	<par>also tagged as 142.</par>
59539	I	<par>was tagged as 144, 1837, 142.</par>
59663	O	<par>(śa⁵⁵ &apos;meat&apos;).</par>
59677	I	<par>delete, wrong form</par>
59678	I	<par>=urine+water</par>
59678	O	<par>(di &apos;water&apos;) (LaPolla 1987).</par>
59693	O	<par>(pe⁵³ &apos;male&apos;)</par>
59711	O	<par>(tśal⁵³ &apos;son&apos;)</par>
59745	T	<par>STC erroneously lists the language for this form as &quot;Nagari&quot;.</par>
59797	O	<par>(nam⁵³ &apos;sun; heavenly affairs&apos; with tone assimilation)</par>
59841	O	<par>(śiŋ⁵⁵ &apos;tree&apos;).</par>
59958	O	<par>(dam⁵⁵ &apos;flat&apos;)</par>
60020	O	<par>(patʂ &apos;round&apos;).</par>
60047	O	<par>(śɔ́ &apos;morning&apos;)</par>
60146	T	<par>It is difficult to say whether Bodic forms like Tsangla <latinform>phak</latinform> are truly cognate to Tibetan <latinform>phag</latinform>, or rather loans from it.</par>
60172	I	<par>cf. Jingpho last above? + below thru Nung</par>
60173	I	<par>cf. Jingpho last above? + below thru Nung</par>
60177	I	<par>M2: (or even 209??) (prob. not 572)</par>
60181	I	<par>BP pfx?</par>
60183	I	<par>BP pfx? 227 (JAM) or 228 (or 181?)</par>
60224	O	<par>[TSR 97].</par>
60231	O	<par>(dzyi &apos;winged insect&apos;)</par>
60233	O	<par>(tim &apos;gnat, midge&apos;) (LaPolla 1987).</par>
60312	T	<par>STC has Lepcha <latinform>bryaŋ</latinform> &apos;name&apos; &quot;from <emph>sbraŋ</emph>&quot; (p.31, fn.99). LaPolla has apparently interpreted this <latinform>sbraŋ</latinform> as an older Lepcha form, but it appears to be a PTB reconstruction (though missing an asterisk). Even Mainwaring&apos;s dictionary of Lepcha has &apos;name&apos; as <latinform>a-bryaṅ</latinform> (1898:513).</par>
60378	O	<par>[PL]</par>
60379	O	<par>[ILH]</par>
60431	O	<par>(va &apos;bird&apos;) (LaPolla 1987).</par>
60467	T	<par>If this Lahu form with voiced initial is cognate, it reflects a nasal prefix.</par>
60470	T	<par>Lahu <latinform>kh-</latinform> is the regular reflex of <latinform>*kr</latinform>, and <latinform>-òʔ</latinform> is the regular reflex of the rhyme <latinform>*-ap</latinform>.</par>
60476	O	<par>(tsham⁵¹ &apos;hair&apos;).</par>
60477	O	<par>Chinese?</par>
60503	O	<par>[Mpi p.15]</par>
60705	I	<par>See FULL/STRAIGHT/FLAT PAPER</par>
60708	O	<par>[TSR 140].</par>
60725	O	<par>[G&amp;C 51] (LaPolla 1987).</par>
60738	O	<par>(*bay ⪤ *pay [G&amp;C 74]).</par>
60762	O	<par>[G&amp;C p.10] (LaPolla 1987).</par>
60769	O	<par>[TSR 122] (LaPolla 1987).</par>
60828	I	<par>are numbers correct?</par>
60870	I	<par>omit</par>
60876	O	<par>[G&amp;C 146]</par>
60877	O	<par>[G&amp;C 126] (LaPolla 1987).</par>
