rn	type	text
62098	T	<par>LOAN</par>
62105	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62106	I	<par>are these New forms correctly tagged? cf. other notes on these forms.</par>
62110	T	<par>Nepali loan.<br />KPM note: pate?</par>
62130	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62131	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62159	I	<par>What is P3?</par>
62161	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62163	T	<par>Nepali loan.</par>
62164	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62165	T	<par>Newar <latinform>-gu</latinform> &apos;nominalizer/relativizer&apos;.</par>
62170	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62171	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62174	I	<par>First syllable isolate or Proto-Him?</par>
62179	T	<par>Newar <latinform>-gu</latinform> &apos;nominalizer/relativizer&apos;.</par>
62199	T	<par>Skt. <emph>galā-</emph></par>
62200	I	<par>Possibly a borrowing from Nepali ??<br />LOAN</par>
62203	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62204	T	<par>Nepali LOAN</par>
62209	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62210	I	<par>semantics?</par>
62211	T	"<par>Newar <latinform>duru</latinform> &apos;milk&apos; is a loan from Skt. <emph>dugdha-</emph> (cf. <xref ref=""3466"">#3466</xref>); <latinform>ca</latinform> DIMINUTIVE.</par>"
62213	I	<par>cf. Nepali dudh.</par>
62216	T	<par>duru is Sanskrit for milk<br />-gu = one which is = relativizing/nominalizing suffix</par>
62217	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62225	I	<par>semantics? Gloss?</par>
62226	T	<par>K. P. Malla (p.c. 2007) analyzes this form as consisting of <latinform>te</latinform> &apos;navel&apos;, <latinform>pu</latinform> &apos;seed, round thing&apos;, <latinform>ca</latinform> (preferably <latinform>chaa</latinform>) &apos;DIMINUTIVE; child&apos;. Newar <latinform>chaa</latinform> appears in compounds like <latinform>ma-chaa</latinform> &apos;a child&apos; and <latinform>khi-chaa</latinform> &apos;a dog&apos;.</par>
62239	T	<par>LOAN</par>
62242	T	<par>Skt. LOAN</par>
62243	T	<par>Sanskrit - nāḍi</par>
62244	T	<par>The voiceless Newar initial perhaps points to a variant with the <reconstruction>*s-</reconstruction> prefix. On the other hand, the Dolakha form suggests that this initial results from the fusion of a disyllabic prototype.</par>
62252	T	<par>Nepali loan</par>
62270	T	<par>Nepali loan</par>
62271	T	<par>LOAN</par>
62290	T	<par>Skt. LOAN</par>
62291	T	<par>Sanskrit.</par>
62299	I	<par>cf. HAIR (BODY), and WT <latinform>smin</latinform>.</par>
62301	I	<par>Nepali LOAN</par>
62319	T	<par>Nepali loan.</par>
62320	I	<par>cf. BONE?</par>
62324	I	<par>Sanskrit cikkona.<br />Newari root su</par>
62335	I	<par>Borrowing from NP? Cf. Magar, et al.</par>
62341	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62347	I	<par>See 2.2.1.3 (p. 8) and p. 4 Limbu.<br />Sanskrit - nāḍi.</par>
62349	I	<par><emph>remove question mark?</emph></par>
62351	I	<par>b = 2102?</par>
62359	I	<par>semantics?</par>
62365	T	<par>According to K. P. Malla (p.c. 2007), Newar <latinform>-ku</latinform> serves as a classifier for &quot;a piece with some magnitude in girth or depth&quot;.</par>
62368	I	<par>Same word as “female pubic hair” .</par>
62369	T	<par>Sanskrit loan<br />KPM note: prāpa/pharapa</par>
62375	I	<par>Same word as “male pubic hair” .</par>
62382	I	<par>reconsider morph boundary.</par>
62383	T	<par>Newar <latinform>-gu</latinform> &apos;nominalizer/relativizer&apos;.</par>
62391	T	<par>Nep. LOAN</par>
62395	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62397	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62398	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
62403	T	<par>Skt. LOAN</par>
