rn	type	text
131271	I	<par>Whence -i?</par>
131297	I	<par>The second syllable <latinform>loŋ</latinform> could be assigned to etymon 3361 <reconstruction>*goŋ</reconstruction> NECK/THROAT on analogy with Sherpa ol-gong (assuming assimilation of initial to the final consonant of first syllable) or to 499 *lom THROAT by analogy with Idu <latinform>e-rõ-lõ</latinform> (35532).</par>
131329	I	<par>PTB etymon borrowed from MInd pakkha-?</par>
131351	I	<par>Should there be an /n/ on the end of this word?</par>
131378	I	<par>Add LUNG to 1381 gloss?</par>
131381	I	<par>1388? m + 208? (208=LOWER BACK). See above  Konyak, Kanauri; also Lotha (p. 7 end)</par>
131383	I	<par>208?</par>
131384	I	<par>as nba below?? M2: 1385? (cf. p. 15 Thuling 144512)</par>
131386	I	<par>M2: Division? M1: 1305?</par>
131387	I	<par>Cf. 779? and <latinform>ka</latinform>? Division?</par>
131391	I	<par>208?</par>
131409	T	"<par>Pattani <latinform>tsa</latinform> bears a resemblance to <xref ref=""1626"">#1626</xref>, but the usual Pattani reflex of <reconstruction>*-aŋ</reconstruction> is <latinform>-aŋ</latinform> (e.g. <latinform>hraŋ</latinform> &apos;horse&apos; &lt; <xref ref=""1431"">#1431</xref> <reconstruction>*s-raŋ</reconstruction>; <latinform><emph>maŋ</emph>-api</latinform> &apos;dream&apos; &lt; <xref ref=""126"">#126</xref> <reconstruction>*maŋ</reconstruction>).</par>"
131439	I	<par>1388? m + 208? (208=LOWER BACK). See above  Konyak, Kanauri; also Lotha (p. 7 end)</par>
