rn	type	text
36681	I	<par>Division</par>
36734	I	<par>m2 <latinform>↭ </latinform>2048</par>
36907	I	<par>or `1387? cf. OC *t»am (JAM) (new etym.=1814)</par>
36913	I	<par>“tortoise-head” </par>
36926	I	<par>Perhaps an odd transcription of <latinform>é</latinform> (<hanform>鹅</hanform>).</par>
36936	I	<par>first syll = <gloss>soft</gloss>.</par>
37024	I	<par><emph>Add Division.</emph> tzahng: INTERNAL ORGAN</par>
37055	T	<par>GSR 762 a-b<latinform>mi̯ăng/mi̯wɒng</latinform>, ORDER/COMMAND. From another semantic field.</par>
37062	I	<par>M2: m = b?</par>
37087	I	<par>cf. TIL #56, VSTB p 184.</par>
37195	I	<par><latinform>tián</latinform> SWEET must be an allofam. Neither one in GSR.</par>
