rn	type	text
18400	T	<par>This word is perhaps a loan from Indo-Aryan. Cf. <latinform>chagala</latinform> CDIAL 4963)</par>
18441	I	<par>Whence -i?</par>
18693	I	<par>M1: p or m? M2: or division?</par>
18737	I	<par>this was tagged “e” . Is it correct?</par>
18769	I	<par>cf. Manang.</par>
18820	T	<par>from <reconstruction>*bwar.</reconstruction></par>
18831	I	<par>Possible loan from Indic, cf. Sanskrit markáṭa.</par>
19012	I	<par>Zero initial? Check source. Pattani <latinform>šà</latinform> elsewhere.</par>
19019	I	<par>rel to RED = <latinform>ei</latinform> ?</par>
19049	T	<par>Ultimately &lt; Persian saxt &apos;hard&apos;, usually &apos;difficult&apos; rather than &apos;solid&apos;.</par>
