rn	type	text
151166	T	<par>Apatani preserves reflexes of both the voiceless and voiced allofams of this etymon (<latinform>pù</latinform> &apos;bloom&apos;; <latinform>bu</latinform> &apos;give birth&apos;).</par>
151480	I	<par>Possible loan from Indic, cf. Assamese <latinform>suwor</latinform>.</par>
151481	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor. </par>
151482	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor. </par>
151860	I	<par>Borrowed from #1471.</par>
152061	I	<par>Loan from Tibetan lo gsar.</par>
152062	I	<par>Loan from Tibetan lo gsar.</par>
152306	I	<par>loan from Tibetan?</par>
153419	I	<par>3d syll. was tagged with non-existent #1070.</par>
154492	T	<par>Bengni <latinform>-ŋ</latinform> is unexplained.</par>
154670	I	<par>In this interesting collocation, the first word <latinform>à-diŋ</latinform> means &apos;head&apos;, while the second <latinform>dim-pu</latinform> means &apos;white hair&apos; (in <latinform>dim-pu</latinform>, note the assimilation of the final of the first syllable to the initial of the second syllable). A painfully literal meaning of this collocation would be &apos;white-haired head&apos;.</par>
154726	I	<par>Is this Nbp or &apos;resin&apos;? Check Apatani &apos;tooth.&apos; Maybe goes with Ahraing Khumi <latinform>ho²sətaɛ</latinform> (sp?) &apos;gums.&apos;</par>
155022	T	<par>Lit. &quot;hip-eye&quot;. Cf. the semantic association arising from the rounded nature of the hip joint.</par>
155764	I	<par>The final nasal in this Damu form is similar to those in Rongmei, Thado, and Mzieme.</par>
155969	I	<par>cf. 144747</par>
156653	T	<par>&lt; Indic khačara &lt; Iranian xačara</par>
156731	I	<par>Loan from Tibetan.</par>
156882	I	<par>incestuous compound. Both allofams ?&lt; 806? If so, then 156885 <latinform>ja-pĩ pim-bu </latinform>&apos;nostril&apos; has 3 consecutive sylls from same ety?</par>
156884	I	<par>check Bengni S reflex of <reconstruction>*r-.</reconstruction> Chould it be <latinform>Ø</latinform>? Compare Apatani(?)<latinform>nye-bung a ruŋ</latinform></par>
157322	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
157523	T	<par>Modified from erroneously-segmented original: <latinform>ɯm-rjo</latinform></par>
157524	T	<par>Modified from erroneously-segmented original: <latinform>um-ju</latinform></par>
157525	I	<par>Modified from erroneously-segmented original: <latinform>ɯm-rjo (mú-lɯ)</latinform></par>
157575	I	<par>Loan from Indo-Aryan.</par>
160139	I	<par>-tɯː means &apos;big&apos; in Bengni.</par>
161045	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
161046	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
161048	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
161076	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
161284	I	<par>Loan from Tibetan lo gsar.</par>
