semkey	type	text
3.2.2	G	<par></par>
1.1.1	I	<par>How to distinguish <reconstruction>*s-ku</reconstruction> from <reconstruction>*guŋ</reconstruction>. Cf. Dulong Nujiang <latinform>gɔŋ¹³</latinform> BODY, <latinform>ʃi⁵⁵gɯ⁵⁵</latinform> CORPSE. Dulong has <latinform>aŋ³¹</latinform> prefix like Bisu/Sangkong/Phunoi. Akha, Burmish forms w/ defunct tag 1803 <latinform>raŋ⪤waŋ</latinform>:Akha: <latinform>g&apos;aw</latinform><latinform>ˇmawˇ BODY,</latinform> Bola <latinform>ɣɔ⁵⁵</latinform><latinform>kɔ̃⁵⁵</latinform> CHEST, Lashi <latinform>jaŋ³¹</latinform><latinform>kaŋ³¹</latinform> CHEST, Zaiwa <latinform>vaŋ⁵¹</latinform><latinform>-kaŋ⁵¹</latinform> CHEST, Hani (Dazai) <latinform>ɣo⁵⁵</latinform><latinform>mo⁵⁵</latinform> BODY, Hani (Shuikui) <latinform>ʒu³³</latinform><latinform>ɣu⁵⁵</latinform> BODY, Hani (Lüchun) <latinform>jò vó</latinform> BODY, Langsu <latinform>vɔ̃³¹</latinform><latinform>(kɔ̃³¹)</latinform> CHEST, Sani <latinform>ɣo̱²¹</latinform> BODY (why constricted?).</par>
1.1.1	G	<par></par>
1.1.2.1	I	<par>Naga copulas in lei (GEM, WTF), etc. may go with Kiranit *let. Add LTSR 68.</par>
1.1.2.2	T	<par>In the semantic flowchart, the connection BREATH(E)-HEART is found in Karenic.</par>
1.1.4.1	I	<par>check WT <latinform>mnyal</latinform> &apos;lie down to sleep.&apos;</par>
1.1.5.2	I	<par>re-process SWELL (3/11/93). Allofamize e163.</par>
1.2.1	I	<par>add drawing: HEAD — NECK.</par>
1.2.3	I	<par>General-tendency semantics: <reconstruction>*mul</reconstruction> refers to fine body-hair; <reconstruction>*tsam</reconstruction> coarse body-hair like pubic, armpit, etc; <reconstruction>*ney</reconstruction> head hair; <reconstruction>*s-kra</reconstruction> head-hair, head; <reconstruction>*s-pwa</reconstruction> single hair. <reconstruction>*sâm</reconstruction> HAIR, TR <latinform>sem</latinform> ‘head hair.’ </par>
1.2.3.4	T	<par>A great number of verbs are usable with HEAD to convey the meaning of BALD, e.g. WB <latinform>khôŋ proŋ</latinform> ‘head + clean/clear’ ; WB <latinform>thip proŋ</latinform> ‘top + clean/clear’ ; <latinform>khôŋ tûm</latinform> ‘head + dull/blunt’ ; <latinform>khôŋ tûm-tui</latinform> ‘head + blunt-short’ ; <latinform>û phrâñ</latinform> ‘head + slow (?).’ </par>
1.2.4	I	<par>drawing of <gloss>brain/fat/marrow</gloss> &lt; Mikir?</par>
1.2.5.5	I	<par>where are ety 1116-1122??</par>
1.2.6.5	I	<par>Re: the WING -- GILL -- EYEBROW connexion, cf. Eng &apos;flutter&apos;. Also e2077 Mag., AM, WT <latinform>mig-gs̀og </latinform> &apos;eyelash&apos;.</par>
1.2.6.7	I	<par>GSR 532c <latinform>li̯wəd/lywi </latinform>really <latinform>&lt; *kləy</latinform> &apos;shit?&apos; STC calls <latinform>śi̯ər/śi </latinform>cognate to <reconstruction>*kləy</reconstruction>.</par>
1.2.8	I	<par><reconstruction>*guːŋ</reconstruction>. WTF 527. But cf. Lh. <latinform>nèmdash a-qhɔ̂-qhɔ</latinform>.</par>
1.3.1	I	<par>Note that in the Garo form for ‘waist’ ko-mor, the second syllable is apparently from etymon 467 *s-m<latinform>ːr MOUTH. The semantics are peculiar, and this etymology may need to be reconsidered. See the footnote under the Garo form and the note at Chapter 4.6 WAIST.</latinform> </par><par>  In the drawing for MOUTH labeled &quot;I-E&quot;, the &quot;k&quot; of CHEEK is being obliterated by the semicircle figure. Maybe this will be fixed automatically in newer Superpaint, or by pasting into Word. </par><par>  Nepali for SNOUT? Chinese <latinform>chún ↭ zǔi</latinform>.</par>
1.3.1.2	I	<par>STC recognizes only one root for BEAK/BILL, <reconstruction>*muːr</reconstruction> (#366), which is also glossed MOUTH/FACE/GILLS. Many TB lgs simply have no special words for this meaning, and the words for ‘mouth’ or ‘lip’ are used instead. Many languages employ compound patterns like BIRD-MOUTH, BIRD-LIP, BIRD-TOOTH, HORN-LIP etc.</par>
1.3.2	I	"<par><xref ref=""452"">#452</xref> *bur or ber [<latinform>bər</latinform>] should be corrected to *bul, on the basis of the form in Milang, a coda-conservative Mirish lg that distinguishes -r and *-l.</par>"
1.3.2	I	<par>Many lgs manifests a <latinform>-č(ʰ)i</latinform> form (Tamang, Tsangla, Kokborok, Bokar etc.). A new root? Or reflexes of <reconstruction>*(t)siŋ</reconstruction>?</par>
1.3.4	I	"<par><xref ref=""637"">#637</xref> <reconstruction>*kəŋ</reconstruction> may need to be modified to <reconstruction>*kwəŋ</reconstruction> in view of the Jingpho form.</par>"
1.3.4	I	"<par>change <xref ref=""637"">#637</xref> gloss to TOOTH/TUSK</par>"
1.3.4.1	I	<par>ST lgs usually have the structure DOG+TOOTH, e.g. Chinese, Taraon, Kaman, etc.</par>
1.3.4.2	T	"<par>Many TB words meaning MOLAR are compounds: Lepcha <latinform>fo-góm</latinform> and Bokar <latinform>jiː-kam</latinform> are compounds of TOOTH + JAW. (See <xref ref=""630"">#630</xref>.) Lahu <latinform>cì-g̈àʔ-ma</latinform> &apos;molar&apos; is a compound of <xref ref=""635"">#635</xref> and <xref ref=""5669"">#5669</xref>. Lushai (Mizo) <latinform>ha-pui</latinform> &apos;molar&apos; is a compound of <xref ref=""632"">#632</xref> and <xref ref=""1622"">#1622</xref>.</par>"
1.3.4.3	T	<par>Most TB languages reflect the PTB root <reconstruction>*r-nil ⪤ s-nil</reconstruction>, which STC claims to be possibly related to PTB<reconstruction>*r-ni </reconstruction>‘red’ . The Northern Qiang forms for ‘gums’ <latinform>-zdi</latinform> and ‘red’ <latinform>ɕi-</latinform> (Taoping <latinform>χȵi-</latinform>), however, seem to come from different initials. The form <latinform>khV-</latinform> is also common in BL and Qiangic (Bradley reconstructs Proto-Loloish <reconstruction>*ʔ-ko³</reconstruction> on the basis of Lahu Shi and Southern Loloish). Attested compound formations in TB include TOOTH + GUMS, TOOTH + RED, TOOTH + BASE and TOOTH + FOOT; the Chinese formation TOOTH + FLESH is also attested.</par>
1.3.4.5	I	"<par><xref ref=""1147"">#1147</xref>: for the variation between -t and -p within a single lg see the Bahing forms 142741 and 121862.</par>"
1.3.4.5	I	"<par>PAF of <xref ref=""688"">#688</xref> <reconstruction>*wa-t</reconstruction>, <xref ref=""1761"">#1761</xref> <reconstruction>*ŋr/yat</reconstruction>, <xref ref=""1762"">#1762</xref> <latinform>N-gwya</latinform> is <latinform>N/s g-w-y-a-t</latinform> cf. LTBA 9.1.</par>"
