rn	type	text
47306	T	<par>Lit. &quot;head-skin&quot;.</par>
47308	I	<par>How is this Ahi term related to 47309 <latinform>o⁵⁵ tɕe̱⁵⁵ </latinform>‘antler’ ?</par>
47373	I	<par>compare Yi (Mile)</par>
47397	I	<par>bi = pi</par>
47495	I	<par>second syll = 1232?</par>
47498	I	<par>m = MOUTH.</par>
47528	I	<par>borrowing from Chinese?</par>
47534	I	<par>second syll tag?</par>
47538	I	<par>first syll tag?</par>
47540	I	<par>second syll tag?</par>
47544	I	<par>M2: 65?</par>
47550	I	<par>1384? See below</par>
47552	I	<par>see prev. record.-or 1387 (cf. next records)</par>
47554	I	<par>M1: 1390? or perh. 1321? M2: 229? (or 228?/181?). <emph>zo</emph>: see Yi (Mile) above.</par>
47555	I	<par>M1: p? or perh. 228? M3: JAM: LIQUID?</par>
47556	I	<par>M1: p? or perh. 228? M3: JAM: LIQUID?</par>
47557	I	<par>M1: rel. to 228? M3: seen earlier?</par>
47561	I	<par>was labeled as borrowing.</par>
47563	I	<par>M3: see <latinform>dze/zo</latinform> above</par>
47564	I	<par>1384 or s?</par>
47565	I	<par>*vu: 315 or 2102?) M2: 1384? or s?</par>
47568	I	<par><emph>zo</emph> cf. dze prev.</par>
47587	T	<par>Ahi <latinform>ni²¹</latinform> is the same as the first syllable of Ahi <latinform>ni²¹ tɕi²²</latinform> &apos;lip&apos;.</par>
47622	I	<par>1384? See below</par>
47623	I	<par>M2: or 1019? 1388?? See below 41684.</par>
