rn	type	text
42343	I	<par>Check Nusu reflex of <reconstruction>*-am</reconstruction> to justify shifting from 366 to 1232.</par>
42345	T	"<par>Southern Nusu <latinform>n̥ɔ³¹</latinform> is distinct both from &apos;eye&apos; <latinform>miɑ̱³¹</latinform> and &apos;nose&apos; <latinform>ṇi⁵⁵</latinform>. However, comparison with other forms leads us provisionally to assign it to <xref ref=""803"">#803</xref>.</par>"
42370	I	<par>2104???</par>
42379	I	<par>M2: rel. to 1362?</par>
42382	I	<par>or 2122?</par>
42385	I	<par>BP pfx? M2: 191? M3: 658?</par>
42482	I	<par>Check Nusu reflex of <reconstruction>*-am </reconstruction>to justify shifting from 366 to 1232.</par>
42518	I	<par>2104? M2: or s?</par>
42519	I	<par>M2: rel. to 1362?</par>
42522	I	<par>or 2122?</par>
42524	I	<par>M2: or s? rel. to BP pfx?</par>
42525	I	<par>BP pfx?; 779 or other? sfx identical?</par>
42624	I	<par>Check Nusu reflex of <reconstruction>*-am</reconstruction> to justify shifting from 366 to 1232.</par>
42662	I	<par>2104? M2: or s?</par>
42663	I	<par>M2: rel. to 1362?</par>
42666	I	<par>or 2122?</par>
42668	I	<par>M2: or s? rel. to BP pfx?</par>
42669	I	<par>M1: cf. <latinform>tshi</latinform>; M2: 653 or 654? M3: 658?</par>
42724	T	<par>Simplex.</par>
42725	T	<par>Causative.</par>
335023	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
335039	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
335085	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
335150	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
335227	I	"<par>Loan from Chinese, cf. Chinese yǐzi 椅子	&apos;chair&apos;.</par>"
335228	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
335235	I	<par>Loan from Chinese, cf. Chinese shuāzi 刷子 &apos;brush&apos;.</par>
335259	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
335265	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
335266	I	<par>Loan from Chinese, cf. Chinese mòshuǐ 墨水 ‘ink’.</par>
335287	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
335308	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
335392	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
335925	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
335940	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
335985	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
336050	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
336127	I	"<par>Loan from Chinese, cf. Chinese yǐzi 椅子	&apos;chair&apos;.</par>"
336128	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
336135	I	<par>Loan from Chinese, cf. Chinese shuāzi 刷子 &apos;brush&apos;.</par>
336159	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
336165	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
336166	I	<par>Loan from Chinese, cf. Chinese mòshuǐ 墨水 ‘ink’.</par>
336187	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
336208	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
336293	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
